RobTop — модуль «Найти предмет»: пул описаний
Всего: 10000 | easy:49 medium:982 hard:4000 impossible:4969
Формат: СЛОЖНОСТЬ | EN  ||  RU  ||  LV  ||  DE
================================================================================
EASY        | Find something silver  ||  Найди что-нибудь серебряное  ||  Atrodi kaut ko sudrabainu  ||  Finde etwas Silbernes
EASY        | Find something shiny  ||  Найди что-нибудь блестящее  ||  Atrodi kaut ko spīdīgu  ||  Finde etwas Glaenzendes
EASY        | Find something hard  ||  Найди что-нибудь твёрдое  ||  Atrodi kaut ko cietu  ||  Finde etwas Hartes
EASY        | Find something oval  ||  Найди что-нибудь овальное  ||  Atrodi kaut ko ovālu  ||  Finde etwas Ovales
EASY        | Find something grey  ||  Найди что-нибудь серое  ||  Atrodi kaut ko pelēku  ||  Finde etwas Graues
EASY        | Find something thin  ||  Найди что-нибудь тонкое  ||  Atrodi kaut ko plānu  ||  Finde etwas Duennes
EASY        | Find something big  ||  Найди что-нибудь большое  ||  Atrodi kaut ko lielu  ||  Finde etwas Grosses
EASY        | Find something golden  ||  Найди что-нибудь золотое  ||  Atrodi kaut ko zeltainu  ||  Finde etwas Goldenes
EASY        | Find something dry  ||  Найди что-нибудь сухое  ||  Atrodi kaut ko sausu  ||  Finde etwas Trockenes
EASY        | Find something light  ||  Найди что-нибудь лёгкое  ||  Atrodi kaut ko vieglu  ||  Finde etwas Leichtes
EASY        | Find something pointy  ||  Найди что-нибудь острое  ||  Atrodi kaut ko asu  ||  Finde etwas Spitzes
EASY        | Find something green  ||  Найди что-нибудь зелёное  ||  Atrodi kaut ko zaļu  ||  Finde etwas Gruenes
EASY        | Find something cold  ||  Найди что-нибудь холодное  ||  Atrodi kaut ko aukstu  ||  Finde etwas Kaltes
EASY        | Find something huge  ||  Найди что-нибудь огромное  ||  Atrodi kaut ko milzīgu  ||  Finde etwas Riesiges
EASY        | Find something striped  ||  Найди что-нибудь полосатое  ||  Atrodi kaut ko svītrainu  ||  Finde etwas Gestreiftes
EASY        | Find something wide  ||  Найди что-нибудь широкое  ||  Atrodi kaut ko platu  ||  Finde etwas Breites
EASY        | Find something brown  ||  Найди что-нибудь коричневое  ||  Atrodi kaut ko brūnu  ||  Finde etwas Braunes
EASY        | Find something soft  ||  Найди что-нибудь мягкое  ||  Atrodi kaut ko mīkstu  ||  Finde etwas Weiches
EASY        | Find something pink  ||  Найди что-нибудь розовое  ||  Atrodi kaut ko rozā  ||  Finde etwas Rosa
EASY        | Find something small  ||  Найди что-нибудь маленькое  ||  Atrodi kaut ko mazu  ||  Finde etwas Kleines
EASY        | Find something spotted  ||  Найди что-нибудь пятнистое  ||  Atrodi kaut ko raibu  ||  Finde etwas Gepunktetes
EASY        | Find something long  ||  Найди что-нибудь длинное  ||  Atrodi kaut ko garu  ||  Finde etwas Langes
EASY        | Find something black  ||  Найди что-нибудь чёрное  ||  Atrodi kaut ko melnu  ||  Finde etwas Schwarzes
EASY        | Find something rough  ||  Найди что-нибудь шершавое  ||  Atrodi kaut ko raupju  ||  Finde etwas Raues
EASY        | Find something matte  ||  Найди что-нибудь матовое  ||  Atrodi kaut ko matētu  ||  Finde etwas Mattes
EASY        | Find something sticky  ||  Найди что-нибудь липкое  ||  Atrodi kaut ko lipīgu  ||  Finde etwas Klebriges
EASY        | Find something smooth  ||  Найди что-нибудь гладкое  ||  Atrodi kaut ko gludu  ||  Finde etwas Glattes
EASY        | Find something white  ||  Найди что-нибудь белое  ||  Atrodi kaut ko baltu  ||  Finde etwas Weisses
EASY        | Find something red  ||  Найди что-нибудь красное  ||  Atrodi kaut ko sarkanu  ||  Finde etwas Rotes
EASY        | Find something light blue  ||  Найди что-нибудь голубое  ||  Atrodi kaut ko gaišzilu  ||  Finde etwas Hellblaues
EASY        | Find something transparent  ||  Найди что-нибудь прозрачное  ||  Atrodi kaut ko caurspīdīgu  ||  Finde etwas Durchsichtiges
EASY        | Find something round  ||  Найди что-нибудь круглое  ||  Atrodi kaut ko apaļu  ||  Finde etwas Rundes
EASY        | Find something curved  ||  Найди что-нибудь изогнутое  ||  Atrodi kaut ko izliektu  ||  Finde etwas Gebogenes
EASY        | Find something blue  ||  Найди что-нибудь синее  ||  Atrodi kaut ko zilu  ||  Finde etwas Blaues
EASY        | Find something warm  ||  Найди что-нибудь тёплое  ||  Atrodi kaut ko siltu  ||  Finde etwas Warmes
EASY        | Find something short  ||  Найди что-нибудь короткое  ||  Atrodi kaut ko īsu  ||  Finde etwas Kurzes
EASY        | Find something fluffy  ||  Найди что-нибудь пушистое  ||  Atrodi kaut ko pūkainu  ||  Finde etwas Flauschiges
EASY        | Find something thick  ||  Найди что-нибудь толстое  ||  Atrodi kaut ko biezu  ||  Finde etwas Dickes
EASY        | Find something wet  ||  Найди что-нибудь мокрое  ||  Atrodi kaut ko slapju  ||  Finde etwas Nasses
EASY        | Find something narrow  ||  Найди что-нибудь узкое  ||  Atrodi kaut ko šauru  ||  Finde etwas Schmales
EASY        | Find something square  ||  Найди что-нибудь квадратное  ||  Atrodi kaut ko kvadrātisku  ||  Finde etwas Quadratisches
EASY        | Find something sparkly  ||  Найди что-нибудь сверкающее  ||  Atrodi kaut ko mirdzošu  ||  Finde etwas Funkelndes
EASY        | Find something orange  ||  Найди что-нибудь оранжевое  ||  Atrodi kaut ko oranžu  ||  Finde etwas Oranges
